activity_id,user_id,activity_type,timestamp,duration_sec
0619cad7-5690-4bed-b2b4-e04cdaa88ec0,u_00291,view_dashboard,2023-07-08T12:15:47,751
72f9370a-bb55-4fbf-ad2b-a58295c7ee76,u_00868,export_report,2024-01-15T19:09:19,2725
58ceb2fd-e8e2-4e23-ae02-b53ee99b886d,u_00316,api_call,2024-01-14T17:09:52,1470
007d1040-517e-47e8-bb57-a4de9bc7929b,u_00902,api_call,2023-07-02T06:37:44,436
0f8f5349-4d7d-4a58-b7a0-ad26050a7995,u_00039,login,2023-11-06T02:11:54,325
fb16c1e3-5cea-41cd-b637-d465466df51a,u_00557,api_call,2023-11-04T06:58:41,2196
d5b5074f-c78f-4171-8ae4-55174af98b74,u_00668,login,2023-06-18T18:58:58,1248
1a4f4820-8b9d-485d-9332-e634583b2301,u_00680,api_call,2023-11-02T08:16:31,1407
b56cb7d9-2fa2-4827-b413-3eb0297bc520,u_00538,update_profile,2023-06-21T14:22:00,1000
2b41fa79-b4ff-45c0-a2e1-433f14d1a0c8,u_00325,view_dashboard,2023-06-30T08:54:47,1246
5ea84735-f0ce-4c6d-aa14-3eb09b30a7b7,u_00444,update_profile,2023-06-09T18:06:03,1227
6dbd0aac-173f-401c-a02b-c386e3bbeedb,u_00506,export_report,2023-07-08T00:34:54,2291
63464fb6-2288-4651-9345-3af760680ba0,u_00528,export_report,2023-08-02T23:27:43,1296
de6481e7-cc05-47e2-8a73-802eaa575829,u_00717,login,2023-07-25T20:49:22,2654
26a2852b-51aa-4b7d-a746-af7db28d1f0a,u_00654,api_call,2023-07-16T22:54:25,363
f9c937de-654b-4823-9580-597cf73a47b1,u_00489,export_report,2023-09-24T04:43:21,1022
4d8e0ba1-b1d2-448d-b715-1da7b82564ed,u_00741,update_profile,2023-08-06T20:38:18,2584
1d9c87f1-8948-419f-99a5-0783082ea9e4,u_00870,update_profile,2023-06-02T18:14:30,2828
6bfa9c14-7ae2-481b-a076-15fcfa9e7cf5,u_00692,api_call,2023-11-01T21:12:37,2093
638db060-a930-448a-8ae0-c191ab524933,u_00109,login,2023-11-18T08:32:40,2695
48a2b2b3-947a-4b46-bafb-5204b25a2aa6,u_00800,export_report,2023-10-02T21:21:20,1467
561cb1b7-2aef-4853-bc73-2f924f5ec982,u_00382,export_report,2023-11-08T02:38:41,175
328d1007-f6b1-4079-94ff-abc37fad8cd7,u_00412,export_report,2023-06-22T15:06:45,2261
e1c2e9de-355a-4059-a748-d5b3d4dc0650,u_00468,login,2023-09-26T00:34:50,960
e60f215c-e30e-474b-a3f3-cfc24bef9d09,u_00023,view_dashboard,2023-06-06T10:15:02,102
f9d89e0f-0d5a-48f9-882b-ae25e3437014,u_00478,update_profile,2023-11-02T23:10:05,2637
7cdc120b-2cc5-49a6-b98e-4b7b2a44790d,u_00348,view_dashboard,2023-08-15T19:44:17,176
ab39308c-8c78-401c-be89-2d62788c24ff,u_00608,export_report,2023-12-28T03:09:43,2031
80a47294-6ee6-4f44-a285-1ad200320cc2,u_00007,login,2024-01-27T02:03:15,1418
57b193be-d425-4ba2-afd4-bc4310a4d728,u_00471,export_report,2023-09-25T17:21:12,767
03a4d84c-f39f-468d-b73a-7cc1d6885bc0,u_00477,view_dashboard,2023-06-25T11:17:43,2471
86f38439-0b44-4349-9236-254d60cd1019,u_00585,login,2023-06-12T04:22:05,459
fe62742e-6e4c-4760-ae91-5e4c05367ab0,u_00404,view_dashboard,2023-09-06T20:39:07,670
4aa65d19-0f6d-4d8d-b7d7-b9985630b9b4,u_00736,export_report,2023-12-16T16:38:45,200
5a8908b7-3bd2-4f83-a93b-51c1207dd24b,u_00692,view_dashboard,2023-12-16T17:56:00,85
d252c76a-ba34-4b02-9aaa-4f14710a45d5,u_00780,api_call,2023-09-04T06:24:57,1165
993a526f-4510-4c9f-914d-85adb4546cba,u_00975,login,2024-01-03T04:22:00,2052
13064c66-3724-45de-841f-ff0812f62b32,u_00141,view_dashboard,2023-08-07T00:30:18,139
4a6ea11b-93bb-49a6-961a-17089c2f0014,u_00944,api_call,2023-09-11T13:03:02,580
9b9d690c-4ecc-491b-a9d5-7f436c457236,u_00616,update_profile,2023-07-05T05:32:47,2221
